Locality,Type of property,Subtype of property,Price,Type of sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
9120,APARTMENT,APARTMENT,False,rent,1,80,INSTALLED,,False,10,False,80,2,False,False
1030,APARTMENT,APARTMENT,1735,rent,1,121,HYPER_EQUIPPED,False,False,8,False,121,2,False,AS_NEW
2800,APARTMENT,GROUND_FLOOR,False,rent,2,107,INSTALLED,,False,False,115,107,2,False,GOOD
1440,HOUSE,HOUSE,False,rent,2,False,INSTALLED,,False,False,50,False,2,False,GOOD
1180,HOUSE,VILLA,False,rent,6,892,HYPER_EQUIPPED,,False,50,600,892,4,True,GOOD
1630,HOUSE,HOUSE,False,rent,4,250,INSTALLED,,1,20,1200,250,4,False,JUST_RENOVATED
8300,HOUSE,HOUSE,False,rent,5,352,HYPER_EQUIPPED,True,False,False,False,352,3,False,GOOD
5563,HOUSE,HOUSE,False,rent,2,100,HYPER_EQUIPPED,False,False,False,False,100,3,False,GOOD
1490,HOUSE,VILLA,False,rent,6,250,INSTALLED,,False,44,False,250,4,False,False
2900,HOUSE,VILLA,False,rent,5,380,INSTALLED,False,1,70,2035,380,4,True,JUST_RENOVATED
1933,HOUSE,HOUSE,False,rent,5,227,False,,False,70,False,227,4,False,JUST_RENOVATED
1310,HOUSE,HOUSE,False,rent,5,215,HYPER_EQUIPPED,,False,False,False,215,2,False,AS_NEW
1970,HOUSE,TOWN_HOUSE,False,rent,3,False,HYPER_EQUIPPED,,1,1,150,False,2,False,GOOD
1410,HOUSE,BUNGALOW,2175,rent,3,135,HYPER_EQUIPPED,True,1,9,300,135,4,False,AS_NEW
3090,HOUSE,HOUSE,False,rent,4,271,False,False,False,False,False,271,4,False,False
1050,HOUSE,HOUSE,False,rent,5,380,INSTALLED,False,False,False,200,380,2,False,GOOD
7711,HOUSE,HOUSE,False,rent,2,156,INSTALLED,,False,False,False,156,2,False,JUST_RENOVATED
1180,HOUSE,HOUSE,False,rent,4,210,INSTALLED,False,False,45,400,210,2,False,False
1170,HOUSE,HOUSE,False,rent,4,300,HYPER_EQUIPPED,True,False,False,False,300,3,False,JUST_RENOVATED
1440,HOUSE,HOUSE,False,rent,3,220,HYPER_EQUIPPED,,False,69,False,220,4,False,GOOD
4000,HOUSE,HOUSE,480,rent,5,False,False,True,False,False,10,False,2,False,JUST_RENOVATED
7370,HOUSE,COUNTRY_COTTAGE,False,rent,2,170,INSTALLED,False,False,False,False,170,4,False,False
1410,APARTMENT,APARTMENT,925,rent,1,52,NOT_INSTALLED,,False,False,False,52,4,False,GOOD
4040,APARTMENT,APARTMENT,840,rent,1,69,INSTALLED,,False,5,False,69,2,False,GOOD
8560,HOUSE,HOUSE,False,rent,3,224,SEMI_EQUIPPED,,False,False,False,224,False,False,GOOD
1300,APARTMENT,APARTMENT,890,rent,1,False,False,,False,False,False,False,False,False,JUST_RENOVATED
4880,HOUSE,HOUSE,1480,rent,4,154,HYPER_EQUIPPED,False,False,False,380,154,2,False,GOOD
1853,APARTMENT,APARTMENT,1200,rent,2,80,HYPER_EQUIPPED,False,False,4,False,80,3,False,AS_NEW
1325,HOUSE,VILLA,False,rent,4,220,HYPER_EQUIPPED,,False,False,2700,220,4,False,GOOD
2880,APARTMENT,APARTMENT,950,rent,2,83,HYPER_EQUIPPED,False,False,23,False,83,3,False,AS_NEW
1050,APARTMENT,APARTMENT,1400,rent,1,50,HYPER_EQUIPPED,True,False,10,False,50,False,False,JUST_RENOVATED
7061,HOUSE,HOUSE,False,rent,4,False,INSTALLED,,False,False,False,False,4,False,AS_NEW
7100,HOUSE,HOUSE,False,rent,2,120,SEMI_EQUIPPED,False,False,False,False,120,2,False,False
1140,APARTMENT,APARTMENT,1360,rent,1,69,HYPER_EQUIPPED,False,False,6,False,69,4,False,GOOD
1930,APARTMENT,APARTMENT,1360,rent,1,69,HYPER_EQUIPPED,False,False,6,False,69,4,False,GOOD
7940,HOUSE,HOUSE,False,rent,4,155,False,False,False,12,800,155,3,False,GOOD
9070,HOUSE,HOUSE,False,rent,4,310,HYPER_EQUIPPED,False,False,60,3064,310,4,False,GOOD
1040,APARTMENT,APARTMENT,3900,rent,3,215,HYPER_EQUIPPED,False,False,False,False,215,2,False,GOOD
2861,APARTMENT,APARTMENT,1000,rent,2,92,INSTALLED,,False,25,140,92,3,False,GOOD
3001,APARTMENT,APARTMENT,1400,rent,3,128,HYPER_EQUIPPED,False,False,False,False,128,2,False,GOOD
4000,APARTMENT,APARTMENT,False,rent,2,False,HYPER_EQUIPPED,,False,False,False,False,False,False,GOOD
7100,APARTMENT,APARTMENT,False,rent,2,123,INSTALLED,False,False,False,False,123,2,False,JUST_RENOVATED
6560,HOUSE,HOUSE,False,rent,3,103,INSTALLED,False,False,False,False,103,2,False,False
